Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C182 Postcode 2011 to Statistical Area Level 3 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 July 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA3_CODE_2011,SA3_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2164,2164,12702,Fairfield,0.9271785,92.717848,,,,,,,
2165,2165,12503,Merrylands - Guildford,0.1279803,12.7980328,,,,,,,
2165,2165,12702,Fairfield,0.8720197,87.2019672,,,,,,,
2166,2166,12702,Fairfield,1.0,100.0,,,,,,,
2167,2167,12302,Campbelltown (NSW),1.0,100.0,,,,,,,
2168,2168,12701,Bringelly - Green Valley,0.9452302,94.5230184,,,,,,,
2168,2168,12702,Fairfield,0.0009722,0.097217,,,,,,,
2168,2168,12703,Liverpool,0.0537976,5.3797647,,,,,,,
2170,2170,12702,Fairfield,0.0952842,9.5284161,,,,,,,
2170,2170,12703,Liverpool,0.9046541,90.465412,,,,,,,
2171,2171,12701,Bringelly - Green Valley,0.9994467,99.9446675,,,,,,,
2171,2171,12702,Fairfield,0.0004717,0.0471749,,,,,,,
2172,2172,12703,Liverpool,0.9999997,99.9999686,,,,,,,
2173,2173,12302,Campbelltown (NSW),0.0001226,0.0122557,,,,,,,
2173,2173,12703,Liverpool,0.9998774,99.9877443,,,,,,,
2174,2174,12703,Liverpool,1.0,100.0,,,,,,,
2175,2175,12702,Fairfield,1.0,100.0,,,,,,,
2176,2176,12702,Fairfield,1.0,100.0,,,,,,,
2177,2177,12701,Bringelly - Green Valley,0.0012495,0.1249507,,,,,,,
2177,2177,12702,Fairfield,0.9987505,99.8750493,,,,,,,
2178,2178,12701,Bringelly - Green Valley,0.5025614,50.2561442,,,,,,,
2178,2178,12702,Fairfield,0.4974386,49.7438558,,,,,,,
2179,2179,12701,Bringelly - Green Valley,1.0,100.0,,,,,,,
2190,2190,11901,Bankstown,1.0,99.9999953,,,,,,,
2191,2191,11902,Canterbury,1.0,99.9999976,,,,,,,
2192,2192,11902,Canterbury,1.0,100.0,,,,,,,
2193,2193,11902,Canterbury,0.2894533,28.9453256,,,,,,,
2193,2193,12003,Strathfield - Burwood - Ashfield,0.7105467,71.0546744,,,,,,,
2194,2194,11902,Canterbury,1.0,99.9999988,,,,,,,
2195,2195,11902,Canterbury,1.0,100.0,,,,,,,
2196,2196,11901,Bankstown,0.0151274,1.5127368,,,,,,,
2196,2196,11902,Canterbury,0.9848726,98.4872632,,,,,,,
2197,2197,11901,Bankstown,0.9848768,98.4876789,,,,,,,
2197,2197,12503,Merrylands - Guildford,0.0151232,1.5123211,,,,,,,
2198,2198,11901,Bankstown,1.0,100.0,,,,,,,
2199,2199,11901,Bankstown,1.0,100.0,,,,,,,
2200,2200,11901,Bankstown,0.9934962,99.3496248,,,,,,,
2200,2200,11902,Canterbury,0.0065038,0.6503752,,,,,,,
2203,2203,11702,Marrickville - Sydenham - Petersham,0.0062035,0.6203495,,,,,,,
2203,2203,12003,Strathfield - Burwood - Ashfield,0.9937965,99.3796505,,,,,,,
2204,2204,11702,Marrickville - Sydenham - Petersham,0.9985286,99.8528626,,,,,,,
2204,2204,11902,Canterbury,0.000377,0.0376982,,,,,,,
2204,2204,12003,Strathfield - Burwood - Ashfield,0.0010944,0.1094393,,,,,,,
2205,2205,11904,Kogarah - Rockdale,1.0,99.9999983,,,,,,,
2206,2206,11902,Canterbury,0.9994907,99.9490687,,,,,,,
2206,2206,12003,Strathfield - Burwood - Ashfield,0.0005038,0.0503777,,,,,,,
2207,2207,11904,Kogarah - Rockdale,1.0,99.9999984,,,,,,,
2208,2208,11902,Canterbury,0.5022323,50.223227,,,,,,,
2208,2208,11903,Hurstville,0.013775,1.3774966,,,,,,,
2208,2208,11904,Kogarah - Rockdale,0.4839928,48.3992764,,,,,,,
2209,2209,11902,Canterbury,0.1292791,12.927907,,,,,,,
2209,2209,11903,Hurstville,0.8707209,87.072093,,,,,,,
2210,2210,11902,Canterbury,0.0309975,3.0997545,,,,,,,
2210,2210,11903,Hurstville,0.9690025,96.9002455,,,,,,,
2211,2211,11901,Bankstown,1.0,99.9999984,,,,,,,
2212,2212,11901,Bankstown,1.0,100.0,,,,,,,
2213,2213,11901,Bankstown,1.0,100.0,,,,,,,
2214,2214,11901,Bankstown,1.0,99.9999968,,,,,,,
2216,2216,11904,Kogarah - Rockdale,1.0,100.0,,,,,,,
2217,2217,11904,Kogarah - Rockdale,1.0,100.0,,,,,,,
2218,2218,11903,Hurstville,0.0621242,6.2124176,,,,,,,
2218,2218,11904,Kogarah - Rockdale,0.9378758,93.7875824,,,,,,,
2219,2219,11904,Kogarah - Rockdale,1.0,100.0,,,,,,,
2220,2220,11903,Hurstville,0.9999999,99.99999,,,,,,,
2221,2221,11903,Hurstville,0.9990162,99.9016198,,,,,,,
2221,2221,11904,Kogarah - Rockdale,0.0009838,0.0983802,,,,,,,
2222,2222,11903,Hurstville,1.0,100.0,,,,,,,
2223,2223,11903,Hurstville,1.0,100.0,,,,,,,
2224,2224,12801,Cronulla - Miranda - Caringbah,1.0,99.9999982,,,,,,,
2225,2225,12802,Sutherland - Menai - Heathcote,1.0,100.0,,,,,,,
2226,2226,12802,Sutherland - Menai - Heathcote,1.0,100.0,,,,,,,
2227,2227,12801,Cronulla - Miranda - Caringbah,0.9851582,98.5158204,,,,,,,
2227,2227,12802,Sutherland - Menai - Heathcote,0.0148418,1.4841796,,,,,,,
2228,2228,12801,Cronulla - Miranda - Caringbah,1.0,100.0,,,,,,,
2229,2229,12801,Cronulla - Miranda - Caringbah,1.0,100.0,,,,,,,
2230,2230,12801,Cronulla - Miranda - Caringbah,0.9999894,99.9989375,,,,,,,
2231,2231,12801,Cronulla - Miranda - Caringbah,1.0,100.0,,,,,,,
2232,2232,12801,Cronulla - Miranda - Caringbah,0.0937951,9.3795057,,,,,,,
2232,2232,12802,Sutherland - Menai - Heathcote,0.9062049,90.6204943,,,,,,,
2233,2233,12802,Sutherland - Menai - Heathcote,1.0,99.9999995,,,,,,,
2234,2234,12802,Sutherland - Menai - Heathcote,1.0,99.9999995,,,,,,,
2250,2250,10201,Gosford,0.997451,99.7450999,,,,,,,
2250,2250,10601,Lower Hunter,0.0025186,0.2518627,,,,,,,
2251,2251,10201,Gosford,1.0,100.0,,,,,,,
2256,2256,10201,Gosford,1.0,100.0,,,,,,,
2257,2257,10201,Gosford,1.0,100.0,,,,,,,
2258,2258,10201,Gosford,0.0017046,0.1704574,,,,,,,
2258,2258,10202,Wyong,0.9982954,99.8295426,,,,,,,
2259,2259,10202,Wyong,0.9395889,93.9588869,,,,,,,
2259,2259,11102,Lake Macquarie - West,0.060411,6.0411048,,,,,,,
2260,2260,10201,Gosford,0.9996037,99.9603737,,,,,,,
2260,2260,10202,Wyong,0.0003963,0.0396263,,,,,,,
2261,2261,10201,Gosford,0.0057471,0.5747058,,,,,,,
2261,2261,10202,Wyong,0.9942529,99.4252942,,,,,,,
2262,2262,10202,Wyong,1.0,100.0,,,,,,,
2263,2263,10202,Wyong,1.0,100.0,,,,,,,
2264,2264,11102,Lake Macquarie - West,1.0,99.9999998,,,,,,,
2265,2265,11102,Lake Macquarie - West,1.0,100.0,,,,,,,
2267,2267,11101,Lake Macquarie - East,0.0092992,0.9299203,,,,,,,
2267,2267,11102,Lake Macquarie - West,0.9907008,99.0700797,,,,,,,
2278,2278,11102,Lake Macquarie - West,1.0,100.0,,,,,,,
2280,2280,11101,Lake Macquarie - East,1.0,100.0,,,,,,,
2281,2281,11101,Lake Macquarie - East,1.0,100.0,,,,,,,
2282,2282,11101,Lake Macquarie - East,1.0,100.0,,,,,,,
2283,2283,11102,Lake Macquarie - West,1.0,100.0,,,,,,,
2284,2284,11101,Lake Macquarie - East,0.5287801,52.8780148,,,,,,,
2284,2284,11102,Lake Macquarie - West,0.4712199,47.1219852,,,,,,,
2285,2285,11101,Lake Macquarie - East,0.5850462,58.5046183,,,,,,,
2285,2285,11102,Lake Macquarie - West,0.4149537,41.4953708,,,,,,,
2286,2286,11102,Lake Macquarie - West,1.0,100.0,,,,,,,
2287,2287,11101,Lake Macquarie - East,0.0265368,2.6536818,,,,,,,
2287,2287,11103,Newcastle,0.9734632,97.3463152,,,,,,,
2289,2289,11101,Lake Macquarie - East,0.1514343,15.1434316,,,,,,,
2289,2289,11103,Newcastle,0.8485657,84.8565684,,,,,,,
2290,2290,11101,Lake Macquarie - East,0.9881854,98.8185432,,,,,,,
2290,2290,11103,Newcastle,0.0118146,1.1814568,,,,,,,
2291,2291,11103,Newcastle,1.0,100.0,,,,,,,
2292,2292,11103,Newcastle,1.0,100.0,,,,,,,
2293,2293,11103,Newcastle,1.0,100.0,,,,,,,
2294,2294,11103,Newcastle,1.0,100.0,,,,,,,
2295,2295,11103,Newcastle,1.0,100.0,,,,,,,
2296,2296,11103,Newcastle,1.0,100.0,,,,,,,
2297,2297,11103,Newcastle,1.0,100.0,,,,,,,
2298,2298,11103,Newcastle,1.0,100.0,,,,,,,
