variable,value,freq,unweighted,weighted,diff
Q428_108,2,277,13.36227689,13.21082457,0.151452322
Q428_108,3,441,21.27351664,21.33385521,-0.060338563
Q428_108,4,597,28.79884226,28.71481061,0.084031644
Q428_108,5,402,19.39218524,19.19411846,0.198066783
Q428_108,6,215,10.37144235,10.55225709,-0.180814736
Q428_108,7,45,2.170767004,2.230805097,-0.060038092
Q428_109,1,104,5.016883743,5.076512861,-0.059629118
Q428_109,2,403,19.44042451,18.85838523,0.582039272
Q428_109,3,575,27.73757839,27.64156133,0.09601706
Q428_109,4,551,26.57983599,26.72925406,-0.149418078
Q428_109,5,244,11.77038109,11.8921462,-0.121765114
Q428_109,6,151,7.284129281,7.577873831,-0.29374455
Q428_109,7,45,2.170767004,2.224266477,-0.053499472
Q428_110,1,84,4.052098408,4.072568449,-0.020470041
Q428_110,2,329,15.87071877,15.47696679,0.393751978
Q428_110,3,659,31.7896768,31.51906294,0.270613852
Q428_110,4,500,24.11963338,24.40847378,-0.288840399
Q428_110,5,224,10.80559575,10.96758033,-0.161984579
Q428_110,6,205,9.889049686,10.03466194,-0.145612249
Q428_110,7,72,3.473227207,3.520685768,-0.047458561
Q428_111,1,93,4.486251809,4.530867138,-0.044615329
Q428_111,2,428,20.64640617,20.51180898,0.134597193
Q428_111,3,750,36.17945007,36.22699538,-0.047545304
Q428_111,4,350,16.88374337,16.65783351,0.225909857
Q428_111,5,187,9.020742885,9.181926339,-0.161183454
Q428_111,6,196,9.454896286,9.528270523,-0.073374237
Q428_111,7,69,3.328509407,3.362298134,-0.033788727
Q429_151,1,248,11.96333816,11.9927913,-0.029453146
Q429_151,2,664,32.03087313,31.97741989,0.053453245
Q429_151,3,608,29.32947419,29.28514498,0.044329209
Q429_151,4,219,10.56439942,10.58694656,-0.022547134
Q429_151,5,116,5.595754945,5.516801043,0.078953901
Q429_151,6,78,3.762662808,3.873230682,-0.110567874
Q429_151,7,140,6.753497347,6.767665547,-0.014168201
Q429_152,1,469,22.62421611,22.56493685,0.059279258
Q429_152,2,868,41.87168355,41.69147386,0.180209689
Q429_152,3,443,21.36999518,21.3062489,0.063746276
Q429_152,4,136,6.56054028,6.712590237,-0.152049957
Q429_152,5,42,2.026049204,2.018115789,0.007933415
Q429_152,6,45,2.170767004,2.303308388,-0.132541384
Q429_152,7,70,3.376748673,3.40332597,-0.026577296
Q429_153,1,222,10.70911722,10.78905697,-0.079939748
Q429_153,2,630,30.39073806,30.39215947,-0.001421405
Q429_153,3,685,33.04389773,32.97595988,0.067937853
Q429_153,4,290,13.98938736,13.84446063,0.144926731
Q429_153,5,82,3.955619875,3.845769995,0.109849879
Q429_153,6,54,2.604920405,2.729754488,-0.124834083
Q429_153,7,110,5.306319344,5.42283857,-0.116519226
Q429_154,1,209,10.08200675,10.19642767,-0.114420917
Q429_154,2,817,39.41148095,39.44480298,-0.033322031
Q429_154,3,669,32.27206946,32.14890955,0.123159911
Q429_154,4,108,5.20984081,5.221720024,-0.011879213
Q429_154,5,46,2.219006271,2.174939132,0.044067139
Q429_154,6,57,2.749638205,2.887806637,-0.138168431
Q429_154,7,167,8.055957549,7.925394007,0.130563543
Q429_155,1,530,25.56681138,25.51915553,0.047655856
Q429_155,2,1024,49.39700917,49.34753632,0.049472845
Q429_155,3,360,17.36613603,17.38823979,-0.022103758
Q429_155,4,43,2.074288471,2.066501788,0.007786683
Q429_155,5,26,1.254220936,1.223330349,0.030890587
Q429_155,6,29,1.398938736,1.50714596,-0.108207223
Q429_155,7,61,2.942595273,2.948090262,-0.00549499
Q429_156,1,256,12.34925229,12.54702737,-0.197775074
Q429_156,2,768,37.04775687,36.9593934,0.088363477
Q429_156,3,654,31.54848046,31.62685966,-0.078379193
Q429_156,4,172,8.297153883,8.124634995,0.172518888
Q429_156,5,69,3.328509407,3.293181553,0.035327853
Q429_156,6,50,2.411963338,2.554330198,-0.14236686
Q429_156,7,104,5.016883743,4.894572834,0.122310909
Q429_157,1,223,10.75735649,10.7295093,0.027847183
Q429_157,2,747,36.03473227,35.97044521,0.064287063
Q429_157,3,699,33.71924747,33.81086225,-0.091614778
Q429_157,4,181,8.731307284,8.630220187,0.101087097
Q429_157,5,78,3.762662808,3.680442499,0.082220309
Q429_157,6,39,1.881331404,2.02917856,-0.147847156
Q429_157,7,106,5.113362277,5.149341995,-0.035979718
Q429_158,1,209,10.08200675,10.07162278,0.010383977
Q429_158,2,818,39.45972021,39.17791941,0.281800806
Q429_158,3,664,32.03087313,32.27719103,-0.246317901
Q429_158,4,158,7.621804149,7.592513147,0.029291001
Q429_158,5,72,3.473227207,3.357116697,0.11611051
Q429_158,6,39,1.881331404,2.051971453,-0.170640049
Q429_158,7,113,5.451037144,5.471665489,-0.020628345
Q429_159,1,314,15.14712976,15.25504776,-0.107917998
Q429_159,2,960,46.30969609,46.33912656,-0.029430471
Q429_159,3,563,27.15870719,26.91534744,0.243359743
Q429_159,4,88,4.245055475,4.213011479,0.032043996
Q429_159,5,48,2.315484805,2.315098494,0.00038631
Q429_159,6,29,1.398938736,1.524000275,-0.125061539
Q429_159,7,71,3.42498794,3.438367981,-0.013380041
Q430_74,1,1060,51.13362277,51.04679183,0.08683094
Q430_74,2,685,33.04389773,33.41653641,-0.372638677
Q430_74,3,230,11.09503136,10.86168186,0.233349499
Q430_74,4,98,4.727448143,4.674989904,0.052458239
Q430_75,1,261,12.59044863,12.62430678,-0.033858157
Q430_75,2,718,34.63579354,34.84933471,-0.213541179
Q430_75,3,563,27.15870719,27.0531969,0.105510286
Q430_75,4,531,25.61505065,25.4731616,0.14188905
Q430_76,1,194,9.358417752,9.383187992,-0.02477024
Q430_76,2,454,21.90062711,21.93351382,-0.032886706
Q430_76,3,570,27.49638205,27.43156746,0.064814593
Q430_76,4,855,41.24457308,41.25173073,-0.007157647
