Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C184 Postcode 2011 to Statistical Local Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SLA_MAINCODE_2011,SLA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2117,2117,105607425,The Hills Shire (A) - South,0.1910695,19.1069468,,,,,,,
2118,2118,105406252,Parramatta (C) - North-East,0.262899,26.2899033,,,,,,,
2118,2118,105604004,Hornsby (A) - South,0.1482232,14.8223215,,,,,,,
2118,2118,105607425,The Hills Shire (A) - South,0.5888778,58.8877752,,,,,,,
2119,2119,105604004,Hornsby (A) - South,1.0,100.0,,,,,,,
2120,2120,105604001,Hornsby (A) - North,0.001056,0.1056041,,,,,,,
2120,2120,105604004,Hornsby (A) - South,0.998944,99.8943959,,,,,,,
2121,2121,105406252,Parramatta (C) - North-East,0.2938802,29.3880209,,,,,,,
2121,2121,105604004,Hornsby (A) - South,0.7061198,70.6119791,,,,,,,
2122,2122,105406252,Parramatta (C) - North-East,0.1012885,10.1288483,,,,,,,
2122,2122,105556700,Ryde (C),0.8671237,86.7123689,,,,,,,
2122,2122,105604004,Hornsby (A) - South,0.0315878,3.1587828,,,,,,,
2123,2123,105406251,Parramatta (C) - Inner,1.0,100.0,,,,,,,
2125,2125,105604001,Hornsby (A) - North,0.0313099,3.1309897,,,,,,,
2125,2125,105604004,Hornsby (A) - South,0.2015353,20.1535301,,,,,,,
2125,2125,105607421,The Hills Shire (A) - Central,0.0070263,0.7026269,,,,,,,
2125,2125,105607425,The Hills Shire (A) - South,0.7601285,76.0128532,,,,,,,
2126,2126,105604001,Hornsby (A) - North,0.9934629,99.346287,,,,,,,
2126,2126,105604004,Hornsby (A) - South,0.0065371,0.653713,,,,,,,
2127,2127,105400200,Auburn (C),1.0,100.0,,,,,,,
2128,2128,105400200,Auburn (C),1.0,100.0,,,,,,,
2129,2129,105357100,Strathfield (A),1.0,100.0,,,,,,,
2130,2130,105055200,Marrickville (A),0.0003364,0.0336448,,,,,,,
2130,2130,105350150,Ashfield (A),0.9996636,99.9663552,,,,,,,
2131,2131,105350150,Ashfield (A),1.0,100.0,,,,,,,
2132,2132,105350150,Ashfield (A),0.4070852,40.708518,,,,,,,
2132,2132,105351300,Burwood (A),0.5929148,59.2914783,,,,,,,
2133,2133,105201550,Canterbury (C),0.4034888,40.3488775,,,,,,,
2133,2133,105350150,Ashfield (A),0.0783407,7.8340699,,,,,,,
2133,2133,105351300,Burwood (A),0.5153612,51.5361189,,,,,,,
2133,2133,105357100,Strathfield (A),0.0028093,0.2809337,,,,,,,
2134,2134,105351300,Burwood (A),1.0,99.9999992,,,,,,,
2135,2135,105351300,Burwood (A),0.2032754,20.3275356,,,,,,,
2135,2135,105351521,Canada Bay (A) - Concord,0.0697079,6.9707868,,,,,,,
2135,2135,105357100,Strathfield (A),0.7270168,72.7016776,,,,,,,
2136,2136,105351300,Burwood (A),0.5234127,52.3412669,,,,,,,
2136,2136,105357100,Strathfield (A),0.4765873,47.6587331,,,,,,,
2137,2137,105351521,Canada Bay (A) - Concord,1.0,99.9999991,,,,,,,
2138,2138,105351521,Canada Bay (A) - Concord,1.0,100.0,,,,,,,
2139,2139,105351521,Canada Bay (A) - Concord,1.0,100.0,,,,,,,
2140,2140,105357100,Strathfield (A),0.9999999,99.9999852,,,,,,,
2141,2141,105400200,Auburn (C),1.0,100.0,,,,,,,
2142,2142,105403950,Holroyd (C),0.1662705,16.6270454,,,,,,,
2142,2142,105406251,Parramatta (C) - Inner,0.1828664,18.2866412,,,,,,,
2142,2142,105406254,Parramatta (C) - South,0.6508631,65.0863085,,,,,,,
2143,2143,105200353,Bankstown (C) - North-West,0.454028,45.4027982,,,,,,,
2143,2143,105400200,Auburn (C),0.545972,54.5972018,,,,,,,
2144,2144,105400200,Auburn (C),1.0,100.0,,,,,,,
2145,2145,105403950,Holroyd (C),0.7685588,76.8558829,,,,,,,
2145,2145,105406251,Parramatta (C) - Inner,0.0745608,7.4560803,,,,,,,
2145,2145,105406253,Parramatta (C) - North-West,0.1568804,15.6880368,,,,,,,
2146,2146,105403950,Holroyd (C),0.1027424,10.2742389,,,,,,,
2146,2146,105406253,Parramatta (C) - North-West,0.6190228,61.9022803,,,,,,,
2146,2146,105530752,Blacktown (C) - South-East,0.2782348,27.8234808,,,,,,,
2147,2147,105530751,Blacktown (C) - North,0.2661528,26.6152764,,,,,,,
2147,2147,105530752,Blacktown (C) - South-East,0.7338471,73.3847092,,,,,,,
2148,2148,105530751,Blacktown (C) - North,0.1812297,18.1229654,,,,,,,
2148,2148,105530752,Blacktown (C) - South-East,0.8187322,81.8732163,,,,,,,
2150,2150,105403950,Holroyd (C),0.0237326,2.3732604,,,,,,,
2150,2150,105406251,Parramatta (C) - Inner,0.9762674,97.6267396,,,,,,,
2151,2151,105406251,Parramatta (C) - Inner,0.5932106,59.3210643,,,,,,,
2151,2151,105607425,The Hills Shire (A) - South,0.4067894,40.6789351,,,,,,,
2152,2152,105406251,Parramatta (C) - Inner,0.1521896,15.2189639,,,,,,,
2152,2152,105406253,Parramatta (C) - North-West,0.4783728,47.8372849,,,,,,,
2152,2152,105607425,The Hills Shire (A) - South,0.3694375,36.9437513,,,,,,,
2153,2153,105406253,Parramatta (C) - North-West,0.2214739,22.1473935,,,,,,,
2153,2153,105530751,Blacktown (C) - North,0.0012223,0.1222314,,,,,,,
2153,2153,105607421,The Hills Shire (A) - Central,0.7773037,77.730373,,,,,,,
2154,2154,105604001,Hornsby (A) - North,0.1493708,14.9370836,,,,,,,
2154,2154,105607421,The Hills Shire (A) - Central,0.8492087,84.9208698,,,,,,,
2154,2154,105607423,The Hills Shire (A) - North,0.0014205,0.1420466,,,,,,,
2155,2155,105530751,Blacktown (C) - North,0.2002929,20.0292925,,,,,,,
2155,2155,105607421,The Hills Shire (A) - Central,0.0114903,1.1490281,,,,,,,
2155,2155,105607423,The Hills Shire (A) - North,0.7882168,78.8216793,,,,,,,
2156,2156,105604001,Hornsby (A) - North,0.0185512,1.8551238,,,,,,,
2156,2156,105607421,The Hills Shire (A) - Central,0.0025204,0.252042,,,,,,,
2156,2156,105607423,The Hills Shire (A) - North,0.9789283,97.8928342,,,,,,,
2157,2157,105604001,Hornsby (A) - North,0.4621662,46.2166215,,,,,,,
2157,2157,105607423,The Hills Shire (A) - North,0.5378338,53.7833785,,,,,,,
2158,2158,105604001,Hornsby (A) - North,0.6568184,65.6818363,,,,,,,
2158,2158,105607423,The Hills Shire (A) - North,0.3431816,34.3181637,,,,,,,
2159,2159,105604001,Hornsby (A) - North,1.0,100.0,,,,,,,
2160,2160,105403950,Holroyd (C),0.7843261,78.4326051,,,,,,,
2160,2160,105406254,Parramatta (C) - South,0.2156739,21.5673949,,,,,,,
2161,2161,105252851,Fairfield (C) - East,0.1412724,14.1272444,,,,,,,
2161,2161,105403950,Holroyd (C),0.4074208,40.7420814,,,,,,,
2161,2161,105406254,Parramatta (C) - South,0.4513067,45.1306742,,,,,,,
2162,2162,105200353,Bankstown (C) - North-West,0.9577063,95.7706335,,,,,,,
2162,2162,105406254,Parramatta (C) - South,0.0422937,4.2293665,,,,,,,
2163,2163,105200353,Bankstown (C) - North-West,0.3978493,39.7849251,,,,,,,
2163,2163,105252851,Fairfield (C) - East,0.6021507,60.2150749,,,,,,,
2164,2164,105252851,Fairfield (C) - East,0.5962389,59.6238919,,,,,,,
2164,2164,105252854,Fairfield (C) - West,0.3309396,33.0939562,,,,,,,
2164,2164,105403950,Holroyd (C),0.0728215,7.2821517,,,,,,,
2165,2165,105252851,Fairfield (C) - East,0.9963095,99.6309538,,,,,,,
2165,2165,105403950,Holroyd (C),0.0036904,0.3690448,,,,,,,
2166,2166,105252851,Fairfield (C) - East,0.9984223,99.8422302,,,,,,,
2166,2166,105252854,Fairfield (C) - West,0.0015777,0.1577698,,,,,,,
2167,2167,105301501,Campbelltown (C) - North,1.0,100.0,,,,,,,
2168,2168,105254901,Liverpool (C) - East,0.4518928,45.1892831,,,,,,,
2168,2168,105254904,Liverpool (C) - West,0.5481072,54.8107169,,,,,,,
2170,2170,105252851,Fairfield (C) - East,0.0902623,9.0262333,,,,,,,
2170,2170,105252854,Fairfield (C) - West,0.0005587,0.0558692,,,,,,,
2170,2170,105254901,Liverpool (C) - East,0.7575126,75.751264,,,,,,,
